User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR00001,SES00001,Browse,2026-02-20 07:30:36,Mobile,North,Social Media,Sports,0.0,Yes
USR00001,SES00001,Add to Cart,2026-02-20 07:35:36,Tablet,North,Organic,Sports,0.0,Yes
USR00001,SES00001,Checkout,2026-02-20 07:38:36,Desktop,South,Social Media,Electronics,0.0,Yes
USR00002,SES00002,Browse,2026-02-20 12:45:55,Mobile,East,Organic,Electronics,0.0,Yes
USR00002,SES00002,Add to Cart,2026-02-20 12:49:55,Mobile,West,Email,Electronics,0.0,Yes
USR00003,SES00003,Browse,2026-03-02 09:23:04,Desktop,West,Organic,Beauty,0.0,Yes
USR00003,SES00003,Add to Cart,2026-03-02 09:25:04,Desktop,East,Social Media,Electronics,0.0,Yes
USR00003,SES00003,Checkout,2026-03-02 09:27:04,Desktop,West,Social Media,Sports,0.0,Yes
USR00004,SES00004,Browse,2026-03-07 22:24:40,Mobile,West,Google Ads,Home,0.0,Yes
USR00005,SES00005,Browse,2026-03-10 13:52:36,Tablet,East,Google Ads,Beauty,0.0,Yes
USR00006,SES00006,Browse,2026-03-09 16:41:59,Tablet,East,Organic,Electronics,0.0,No
USR00006,SES00006,Add to Cart,2026-03-09 16:44:59,Desktop,West,Organic,Sports,0.0,No
USR00006,SES00006,Checkout,2026-03-09 16:47:59,Mobile,South,Google Ads,Home,0.0,No
USR00006,SES00006,Purchase,2026-03-09 16:49:59,Mobile,West,Organic,Electronics,888.06,No
USR00007,SES00007,Browse,2026-02-27 00:56:59,Tablet,West,Email,Electronics,0.0,Yes
USR00007,SES00007,Add to Cart,2026-02-27 00:58:59,Tablet,East,Email,Beauty,0.0,Yes
USR00008,SES00008,Browse,2026-02-20 23:02:20,Tablet,North,Google Ads,Fashion,0.0,Yes
USR00008,SES00008,Add to Cart,2026-02-20 23:06:20,Mobile,West,Google Ads,Beauty,0.0,Yes
USR00009,SES00009,Browse,2026-03-05 05:39:16,Mobile,East,Organic,Sports,0.0,Yes
USR00009,SES00009,Add to Cart,2026-03-05 05:42:16,Tablet,East,Email,Beauty,0.0,Yes
USR00009,SES00009,Checkout,2026-03-05 05:46:16,Tablet,West,Email,Electronics,0.0,Yes
USR00010,SES00010,Browse,2026-03-14 00:31:00,Desktop,North,Google Ads,Sports,0.0,Yes
USR00011,SES00011,Browse,2026-03-17 20:13:59,Desktop,West,Google Ads,Electronics,0.0,Yes
USR00012,SES00012,Browse,2026-03-16 09:50:38,Desktop,North,Email,Home,0.0,No
USR00012,SES00012,Add to Cart,2026-03-16 09:55:38,Mobile,North,Email,Beauty,0.0,No
USR00012,SES00012,Checkout,2026-03-16 09:59:38,Mobile,West,Google Ads,Beauty,0.0,No
USR00012,SES00012,Purchase,2026-03-16 10:02:38,Desktop,South,Social Media,Electronics,1490.64,No
USR00013,SES00013,Browse,2026-03-11 14:48:39,Mobile,East,Organic,Home,0.0,Yes
USR00013,SES00013,Add to Cart,2026-03-11 14:53:39,Tablet,South,Social Media,Electronics,0.0,Yes
USR00014,SES00014,Browse,2026-03-18 01:58:46,Mobile,West,Social Media,Fashion,0.0,Yes
USR00014,SES00014,Add to Cart,2026-03-18 02:02:46,Desktop,South,Email,Sports,0.0,Yes
USR00015,SES00015,Browse,2026-03-04 13:29:23,Tablet,East,Email,Beauty,0.0,Yes
